instant,Date,season,yr,mnth,holiday,weekday,workingday,weathersit,temp(°C),atemp(°C),humidity(%),windspeed,Casual,Member,Total_rides,Weekday,Season
492,2012-05-06,2,1,5,False,6,False,2,18.4,20.1,74.0,16.2,2135,4224,6359,Sunday,Spring
493,2012-05-07,2,1,5,False,0,True,2,17.3,18.8,66.4,24.9,1008,5265,6273,Monday,Spring
494,2012-05-08,2,1,5,False,1,True,2,19.3,20.8,68.6,31.9,738,4990,5728,Tuesday,Spring
495,2012-05-09,2,1,5,False,2,True,2,19.0,20.5,74.4,23.3,620,4097,4717,Wednesday,Spring
496,2012-05-10,2,1,5,False,3,True,1,15.8,16.5,55.2,33.9,1026,5546,6572,Thursday,Spring
497,2012-05-11,2,1,5,False,4,True,1,17.1,18.4,36.0,25.5,1319,5711,7030,Friday,Spring
498,2012-05-12,2,1,5,False,5,False,1,18.5,20.0,48.0,13.3,2622,4807,7429,Saturday,Spring
499,2012-05-13,2,1,5,False,6,False,1,20.8,22.6,57.6,24.3,2172,3946,6118,Sunday,Spring
500,2012-05-14,2,1,5,False,0,True,2,18.9,20.3,79.0,22.9,342,2501,2843,Monday,Spring
501,2012-05-15,2,1,5,False,1,True,2,20.7,22.0,79.5,15.9,625,4490,5115,Tuesday,Spring
502,2012-05-16,2,1,5,False,2,True,1,21.9,23.3,69.8,13.2,991,6433,7424,Wednesday,Spring
503,2012-05-17,2,1,5,False,3,True,1,19.9,21.8,52.0,24.7,1242,6142,7384,Thursday,Spring
504,2012-05-18,2,1,5,False,4,True,1,18.5,20.4,52.3,14.8,1521,6118,7639,Friday,Spring
505,2012-05-19,2,1,5,False,5,False,1,20.2,21.4,45.6,9.1,3410,4884,8294,Saturday,Spring
506,2012-05-20,2,1,5,False,6,False,1,21.2,22.5,53.0,27.4,2704,4425,7129,Sunday,Spring
507,2012-05-21,2,1,5,False,0,True,2,20.1,21.3,81.1,25.1,630,3729,4359,Monday,Spring
508,2012-05-22,2,1,5,False,1,True,2,20.9,22.3,76.6,12.7,819,5254,6073,Tuesday,Spring
509,2012-05-23,2,1,5,False,2,True,2,21.2,22.6,77.5,11.0,766,4494,5260,Wednesday,Spring
510,2012-05-24,2,1,5,False,3,True,1,22.8,24.0,71.7,18.6,1059,5711,6770,Thursday,Spring
511,2012-05-25,2,1,5,False,4,True,1,24.0,25.4,74.7,15.2,1417,5317,6734,Friday,Spring
512,2012-05-26,2,1,5,False,5,False,1,24.5,26.4,73.2,21.5,2855,3681,6536,Saturday,Spring
513,2012-05-27,2,1,5,False,6,False,1,24.4,26.3,69.7,23.2,3283,3308,6591,Sunday,Spring
514,2012-05-28,2,1,5,True,0,False,1,25.5,28.8,67.6,21.2,2557,3486,6043,Monday,Spring
515,2012-05-29,2,1,5,False,1,True,1,26.0,28.4,68.5,31.9,880,4863,5743,Tuesday,Spring
516,2012-05-30,2,1,5,False,2,True,2,22.9,24.3,67.0,14.5,745,6110,6855,Wednesday,Spring
517,2012-05-31,2,1,5,False,3,True,1,24.0,25.7,49.3,21.1,1100,6238,7338,Thursday,Spring
518,2012-06-01,2,1,6,False,4,True,2,22.7,24.1,75.5,25.6,533,3594,4127,Friday,Spring
519,2012-06-02,2,1,6,False,5,False,1,19.4,21.4,54.9,20.1,2795,5325,8120,Saturday,Spring
520,2012-06-03,2,1,6,False,6,False,1,20.3,22.0,49.3,19.8,2494,5147,7641,Sunday,Spring
521,2012-06-04,2,1,6,False,0,True,1,20.1,22.2,48.7,30.7,1071,5927,6998,Monday,Spring
522,2012-06-05,2,1,6,False,1,True,2,17.4,18.7,61.3,22.6,968,6033,7001,Tuesday,Spring
523,2012-06-06,2,1,6,False,2,True,1,18.0,19.8,61.1,8.3,1027,6028,7055,Wednesday,Spring
524,2012-06-07,2,1,6,False,3,True,1,20.3,21.6,56.7,17.0,1038,6456,7494,Thursday,Spring
525,2012-06-08,2,1,6,False,4,True,1,22.5,23.5,46.8,18.9,1488,6248,7736,Friday,Spring
526,2012-06-09,2,1,6,False,5,False,1,25.4,26.8,43.7,15.6,2708,4790,7498,Saturday,Spring
527,2012-06-10,2,1,6,False,6,False,1,26.2,27.8,53.8,14.4,2224,4374,6598,Sunday,Spring
528,2012-06-11,2,1,6,False,0,True,2,25.9,27.5,58.8,22.4,1017,5647,6664,Monday,Spring
529,2012-06-12,2,1,6,False,1,True,2,22.7,23.5,83.3,23.1,477,4495,4972,Tuesday,Spring
530,2012-06-13,2,1,6,False,2,True,1,22.8,24.3,58.2,37.0,1173,6248,7421,Wednesday,Spring
531,2012-06-14,2,1,6,False,3,True,1,22.5,25.2,57.0,27.4,1180,6183,7363,Thursday,Spring
532,2012-06-15,2,1,6,False,4,True,1,22.0,23.6,59.0,19.0,1563,6102,7665,Friday,Spring
533,2012-06-16,2,1,6,False,5,False,1,21.7,23.3,50.4,18.0,2963,4739,7702,Saturday,Spring
534,2012-06-17,2,1,6,False,6,False,1,19.8,21.8,59.9,15.6,2634,4344,6978,Sunday,Spring
535,2012-06-18,2,1,6,False,0,True,2,18.7,20.0,77.8,18.8,653,4446,5099,Monday,Spring
536,2012-06-19,2,1,6,False,1,True,1,24.4,27.2,69.0,16.0,968,5857,6825,Tuesday,Spring
537,2012-06-20,2,1,6,False,2,True,1,28.8,31.6,59.2,12.3,872,5339,6211,Wednesday,Summer
538,2012-06-21,3,1,6,False,3,True,1,29.9,33.7,56.8,12.8,778,5127,5905,Thursday,Summer
539,2012-06-22,3,1,6,False,4,True,1,28.5,31.8,57.4,19.7,964,4859,5823,Friday,Summer
540,2012-06-23,3,1,6,False,5,False,1,26.4,27.1,53.5,19.4,2657,4801,7458,Saturday,Summer
541,2012-06-24,3,1,6,False,6,False,1,26.9,28.5,47.9,15.7,2551,4340,6891,Sunday,Summer
542,2012-06-25,3,1,6,False,0,True,1,25.6,27.2,50.4,32.4,1139,5640,6779,Monday,Summer
543,2012-06-26,3,1,6,False,1,True,1,21.6,23.3,37.3,37.5,1077,6365,7442,Tuesday,Summer
544,2012-06-27,3,1,6,False,2,True,1,24.8,26.3,36.0,29.3,1077,6258,7335,Wednesday,Summer
545,2012-06-28,3,1,6,False,3,True,1,27.2,28.6,42.2,18.5,921,5958,6879,Thursday,Summer
546,2012-06-29,3,1,6,False,4,True,1,31.2,35.9,48.9,17.8,829,4634,5463,Friday,Summer
547,2012-06-30,3,1,6,False,5,False,1,28.0,29.4,60.1,17.4,1455,4232,5687,Saturday,Summer
548,2012-07-01,3,1,7,False,6,False,1,30.3,33.5,51.9,18.2,1421,4110,5531,Sunday,Summer
549,2012-07-02,3,1,7,False,0,True,1,28.7,30.3,44.7,21.1,904,5323,6227,Monday,Summer
550,2012-07-03,3,1,7,False,1,True,1,28.7,30.4,49.2,13.6,1052,5608,6660,Tuesday,Summer
551,2012-07-04,3,1,7,True,2,False,1,29.1,32.3,53.9,14.6,2562,4841,7403,Wednesday,Summer
552,2012-07-05,3,1,7,False,3,True,1,30.9,34.3,45.8,20.9,1405,4836,6241,Thursday,Summer
553,2012-07-06,3,1,7,False,4,True,1,30.9,33.7,45.1,15.8,1366,4841,6207,Friday,Summer
554,2012-07-07,3,1,7,False,5,False,1,32.5,37.1,49.2,17.6,1448,3392,4840,Saturday,Summer
555,2012-07-08,3,1,7,False,6,False,1,30.7,36.2,57.4,13.5,1203,3469,4672,Sunday,Summer
556,2012-07-09,3,1,7,False,0,True,2,25.4,27.2,68.3,19.5,998,5571,6569,Monday,Summer
557,2012-07-10,3,1,7,False,1,True,2,25.9,27.9,66.8,16.4,954,5336,6290,Tuesday,Summer
558,2012-07-11,3,1,7,False,2,True,1,25.7,26.9,63.3,16.4,975,6289,7264,Wednesday,Summer
559,2012-07-12,3,1,7,False,3,True,1,25.6,27.2,53.0,15.8,1032,6414,7446,Thursday,Summer
560,2012-07-13,3,1,7,False,4,True,2,26.4,28.1,48.6,8.7,1511,5988,7499,Friday,Summer
561,2012-07-14,3,1,7,False,5,False,2,25.1,28.0,69.9,15.5,2355,4614,6969,Saturday,Summer
562,2012-07-15,3,1,7,False,6,False,1,27.1,30.5,71.8,18.0,1920,4111,6031,Sunday,Summer
563,2012-07-16,3,1,7,False,0,True,1,27.9,31.8,64.5,17.7,1088,5742,6830,Monday,Summer
564,2012-07-17,3,1,7,False,1,True,1,30.5,33.9,50.6,12.3,921,5865,6786,Tuesday,Summer
565,2012-07-18,3,1,7,False,2,True,1,29.3,33.2,57.7,14.8,799,4914,5713,Wednesday,Summer
566,2012-07-19,3,1,7,False,3,True,1,28.2,31.2,60.0,17.8,888,5703,6591,Thursday,Summer
567,2012-07-20,3,1,7,False,4,True,2,23.3,24.5,84.4,22.5,747,5123,5870,Friday,Summer
568,2012-07-21,3,1,7,False,5,False,3,20.0,20.3,86.5,23.0,1264,3195,4459,Saturday,Summer
569,2012-07-22,3,1,7,False,6,False,2,23.4,25.1,76.2,10.1,2544,4866,7410,Sunday,Summer
570,2012-07-23,3,1,7,False,0,True,1,26.9,29.5,69.4,15.0,1135,5831,6966,Monday,Summer
571,2012-07-24,3,1,7,False,1,True,1,27.3,30.6,65.5,22.8,1140,6452,7592,Tuesday,Summer
572,2012-07-25,3,1,7,False,2,True,1,26.0,27.2,45.0,17.8,1383,6790,8173,Wednesday,Summer
573,2012-07-26,3,1,7,False,3,True,1,28.5,32.8,59.7,30.7,1036,5825,6861,Thursday,Summer
574,2012-07-27,3,1,7,False,4,True,1,28.7,32.5,59.5,16.5,1259,5645,6904,Friday,Summer
575,2012-07-28,3,1,7,False,5,False,1,27.5,30.0,61.3,17.0,2234,4451,6685,Saturday,Summer
576,2012-07-29,3,1,7,False,6,False,1,25.9,28.1,62.4,18.4,2153,4444,6597,Sunday,Summer
577,2012-07-30,3,1,7,False,0,True,1,26.3,29.2,66.9,16.6,1040,6065,7105,Monday,Summer
578,2012-07-31,3,1,7,False,1,True,1,25.5,27.8,70.4,17.8,968,6248,7216,Tuesday,Summer
579,2012-08-01,3,1,8,False,2,True,1,25.7,28.0,67.8,15.2,1074,6506,7580,Wednesday,Summer
580,2012-08-02,3,1,8,False,3,True,1,27.4,30.7,66.0,13.9,983,6278,7261,Thursday,Summer
581,2012-08-03,3,1,8,False,4,True,2,28.0,31.7,64.2,23.3,1328,5847,7175,Friday,Summer
582,2012-08-04,3,1,8,False,5,False,1,29.3,33.6,61.3,27.8,2345,4479,6824,Saturday,Summer
583,2012-08-05,3,1,8,False,6,False,1,28.2,32.3,65.2,31.3,1707,3757,5464,Sunday,Summer
584,2012-08-06,3,1,8,False,0,True,2,27.4,30.9,65.4,13.9,1233,5780,7013,Monday,Summer
585,2012-08-07,3,1,8,False,1,True,2,26.6,30.0,70.4,12.6,1278,5995,7273,Tuesday,Summer
586,2012-08-08,3,1,8,False,2,True,2,27.2,30.7,67.3,11.9,1263,6271,7534,Wednesday,Summer
587,2012-08-09,3,1,8,False,3,True,1,27.5,30.2,62.0,16.8,1196,6090,7286,Thursday,Summer
588,2012-08-10,3,1,8,False,4,True,2,25.6,28.1,71.6,25.8,1065,4721,5786,Friday,Summer
589,2012-08-11,3,1,8,False,5,False,2,24.5,26.1,73.3,22.3,2247,4052,6299,Saturday,Summer
590,2012-08-12,3,1,8,False,6,False,1,24.9,26.5,53.0,13.2,2182,4362,6544,Sunday,Summer
591,2012-08-13,3,1,8,False,0,True,1,25.9,27.7,54.5,14.7,1207,5676,6883,Monday,Summer
592,2012-08-14,3,1,8,False,1,True,1,26.2,28.7,68.7,18.2,1128,5656,6784,Tuesday,Summer
593,2012-08-15,3,1,8,False,2,True,1,25.2,27.2,62.0,18.3,1198,6149,7347,Wednesday,Summer
594,2012-08-16,3,1,8,False,3,True,1,25.8,27.2,51.9,15.3,1338,6267,7605,Thursday,Summer
595,2012-08-17,3,1,8,False,4,True,1,26.0,-0.0,57.1,24.9,1483,5665,7148,Friday,Summer
596,2012-08-18,3,1,8,False,5,False,1,23.9,24.8,60.3,19.2,2827,5038,7865,Saturday,Summer
597,2012-08-19,3,1,8,False,6,False,2,21.9,23.8,71.2,9.3,1208,3341,4549,Sunday,Summer
598,2012-08-20,3,1,8,False,0,True,2,21.9,23.3,73.4,14.0,1026,5504,6530,Monday,Summer
599,2012-08-21,3,1,8,False,1,True,1,22.5,23.7,67.4,7.8,1081,5925,7006,Tuesday,Summer
600,2012-08-22,3,1,8,False,2,True,1,23.4,25.0,67.7,7.6,1094,6281,7375,Wednesday,Summer
601,2012-08-23,3,1,8,False,3,True,1,24.7,26.0,63.6,9.1,1363,6402,7765,Thursday,Summer
602,2012-08-24,3,1,8,False,4,True,2,25.0,26.7,61.5,7.8,1325,6257,7582,Friday,Summer
603,2012-08-25,3,1,8,False,5,False,2,23.1,24.8,71.3,26.4,1829,4224,6053,Saturday,Summer
604,2012-08-26,3,1,8,False,6,False,2,22.7,23.3,84.6,24.7,1483,3772,5255,Sunday,Summer
605,2012-08-27,3,1,8,False,0,True,1,25.1,27.2,73.0,13.9,989,5928,6917,Monday,Summer
606,2012-08-28,3,1,8,False,1,True,1,26.2,28.0,62.0,20.6,935,6105,7040,Tuesday,Summer
607,2012-08-29,3,1,8,False,2,True,1,24.2,26.0,55.2,12.1,1177,6520,7697,Wednesday,Summer
608,2012-08-30,3,1,8,False,3,True,1,25.2,27.1,59.0,8.3,1172,6541,7713,Thursday,Summer
609,2012-08-31,3,1,8,False,4,True,1,27.9,29.5,58.8,18.2,1433,5917,7350,Friday,Summer
610,2012-09-01,3,1,9,False,5,False,2,27.4,30.4,63.8,12.2,2352,3788,6140,Saturday,Summer
611,2012-09-02,3,1,9,False,6,False,2,24.7,26.8,81.5,6.9,2613,3197,5810,Sunday,Summer
612,2012-09-03,3,1,9,True,0,False,1,25.3,27.7,79.1,16.3,1965,4069,6034,Monday,Summer
613,2012-09-04,3,1,9,False,1,True,1,26.1,29.3,75.5,25.5,867,5997,6864,Tuesday,Summer
614,2012-09-05,3,1,9,False,2,True,1,26.6,30.8,74.1,20.3,832,6280,7112,Wednesday,Summer
615,2012-09-06,3,1,9,False,3,True,2,24.7,27.3,81.0,15.4,611,5592,6203,Thursday,Summer
616,2012-09-07,3,1,9,False,4,True,1,25.1,27.4,73.6,18.5,1045,6459,7504,Friday,Summer
617,2012-09-08,3,1,9,False,5,False,2,23.0,24.3,79.9,30.3,1557,4419,5976,Saturday,Summer
618,2012-09-09,3,1,9,False,6,False,1,20.7,22.2,54.8,24.2,2570,5657,8227,Sunday,Summer
619,2012-09-10,3,1,9,False,0,True,1,19.4,21.3,50.4,27.9,1118,6407,7525,Monday,Summer
620,2012-09-11,3,1,9,False,1,True,1,19.1,20.6,52.0,9.9,1070,6697,7767,Tuesday,Summer
621,2012-09-12,3,1,9,False,2,True,1,20.2,21.6,57.7,14.2,1050,6820,7870,Wednesday,Summer
622,2012-09-13,3,1,9,False,3,True,1,20.8,22.3,63.7,8.9,1054,6750,7804,Thursday,Summer
623,2012-09-14,3,1,9,False,4,True,1,21.8,23.2,67.2,11.2,1379,6630,8009,Friday,Summer
624,2012-09-15,3,1,9,False,5,False,1,20.6,22.7,50.2,26.7,3160,5554,8714,Saturday,Summer
625,2012-09-16,3,1,9,False,6,False,1,19.3,21.2,57.0,9.7,2166,5167,7333,Sunday,Summer
626,2012-09-17,3,1,9,False,0,True,2,19.3,20.5,73.5,16.4,1022,5847,6869,Monday,Summer
627,2012-09-18,3,1,9,False,1,True,2,21.3,21.3,87.2,38.6,371,3702,4073,Tuesday,Summer
628,2012-09-19,3,1,9,False,2,True,1,18.0,19.7,53.7,23.2,788,6803,7591,Wednesday,Summer
629,2012-09-20,3,1,9,False,3,True,1,17.7,19.1,61.8,12.7,939,6781,7720,Thursday,Autumn
630,2012-09-21,3,1,9,False,4,True,1,20.2,21.8,66.9,16.6,1250,6917,8167,Friday,Autumn
631,2012-09-22,3,1,9,False,5,False,1,22.6,24.3,64.7,30.6,2512,5883,8395,Saturday,Autumn
632,2012-09-23,4,1,9,False,6,False,1,16.9,18.2,46.7,24.1,2454,5453,7907,Sunday,Autumn
633,2012-09-24,4,1,9,False,0,True,1,16.2,17.2,49.3,15.4,1001,6435,7436,Monday,Autumn
634,2012-09-25,4,1,9,False,1,True,1,17.8,19.9,57.0,25.5,845,6693,7538,Tuesday,Autumn
635,2012-09-26,4,1,9,False,2,True,1,21.8,23.4,63.1,26.4,787,6946,7733,Wednesday,Autumn
636,2012-09-27,4,1,9,False,3,True,2,22.6,24.1,69.1,14.5,751,6642,7393,Thursday,Autumn
637,2012-09-28,4,1,9,False,4,True,2,21.1,22.7,69.0,17.7,1045,6370,7415,Friday,Autumn
638,2012-09-29,4,1,9,False,5,False,1,17.5,19.0,54.3,24.5,2589,5966,8555,Saturday,Autumn
639,2012-09-30,4,1,9,False,6,False,1,16.8,18.2,58.3,14.6,2015,4874,6889,Sunday,Autumn
640,2012-10-01,4,1,10,False,0,True,2,16.5,17.8,64.9,9.8,763,6015,6778,Monday,Autumn
641,2012-10-02,4,1,10,False,1,True,3,19.8,19.8,87.2,11.3,315,4324,4639,Tuesday,Autumn
642,2012-10-03,4,1,10,False,2,True,2,22.9,23.5,79.4,7.2,728,6844,7572,Wednesday,Autumn
643,2012-10-04,4,1,10,False,3,True,2,22.9,24.1,72.3,12.7,891,6437,7328,Thursday,Autumn
644,2012-10-05,4,1,10,False,4,True,1,20.9,22.3,62.7,11.5,1516,6640,8156,Friday,Autumn
645,2012-10-06,4,1,10,False,5,False,1,18.0,19.5,66.4,28.9,3031,4934,7965,Saturday,Autumn
646,2012-10-07,4,1,10,False,6,False,2,11.5,11.7,70.8,15.2,781,2729,3510,Sunday,Autumn
647,2012-10-08,4,1,10,True,0,False,2,10.0,9.6,71.0,20.5,874,4604,5478,Monday,Autumn
648,2012-10-09,4,1,10,False,1,True,2,13.0,12.9,76.2,20.5,601,5791,6392,Tuesday,Autumn
649,2012-10-10,4,1,10,False,2,True,1,16.2,17.2,63.1,20.3,780,6911,7691,Wednesday,Autumn
650,2012-10-11,4,1,10,False,3,True,1,12.4,12.5,46.3,19.6,834,6736,7570,Thursday,Autumn
651,2012-10-12,4,1,10,False,4,True,1,12.6,12.6,53.9,25.3,1060,6222,7282,Friday,Autumn
652,2012-10-13,4,1,10,False,5,False,1,10.5,9.8,49.5,15.8,2252,4857,7109,Saturday,Autumn
653,2012-10-14,4,1,10,False,6,False,1,16.5,17.5,64.0,30.0,2080,4559,6639,Sunday,Autumn
654,2012-10-15,4,1,10,False,0,True,2,18.4,19.6,70.8,31.9,760,5115,5875,Monday,Autumn
655,2012-10-16,4,1,10,False,1,True,1,14.0,14.4,55.8,19.6,922,6612,7534,Tuesday,Autumn
656,2012-10-17,4,1,10,False,2,True,1,13.4,13.7,69.3,10.9,979,6482,7461,Wednesday,Autumn
657,2012-10-18,4,1,10,False,3,True,2,16.6,17.8,72.8,25.5,1008,6501,7509,Thursday,Autumn
658,2012-10-19,4,1,10,False,4,True,2,18.5,19.5,81.5,14.6,753,4671,5424,Friday,Autumn
659,2012-10-20,4,1,10,False,5,False,1,14.8,15.2,57.3,12.7,2806,5284,8090,Saturday,Autumn
660,2012-10-21,4,1,10,False,6,False,1,13.8,14.1,51.0,17.9,2132,4692,6824,Sunday,Autumn
661,2012-10-22,4,1,10,False,0,True,1,14.9,15.9,56.8,8.8,830,6228,7058,Monday,Autumn
662,2012-10-23,4,1,10,False,1,True,1,17.6,19.0,64.2,10.2,841,6625,7466,Tuesday,Autumn
663,2012-10-24,4,1,10,False,2,True,1,19.6,20.9,63.6,7.8,795,6898,7693,Wednesday,Autumn
664,2012-10-25,4,1,10,False,3,True,2,17.8,19.0,80.0,13.4,875,6484,7359,Thursday,Autumn
665,2012-10-26,4,1,10,False,4,True,2,17.7,18.5,80.7,14.3,1182,6262,7444,Friday,Autumn
666,2012-10-27,4,1,10,False,5,False,2,16.9,18.0,72.0,25.4,2643,5209,7852,Saturday,Autumn
667,2012-10-28,4,1,10,False,6,False,2,14.4,14.9,69.5,42.9,998,3461,4459,Sunday,Autumn
668,2012-10-29,4,1,10,False,0,True,3,12.7,13.0,88.0,38.6,2,20,22,Monday,Autumn
669,2012-10-30,4,1,10,False,1,True,2,7.0,4.5,82.5,23.0,87,1009,1096,Tuesday,Autumn
670,2012-10-31,4,1,10,False,2,True,2,8.8,7.8,66.7,18.0,419,5147,5566,Wednesday,Autumn
671,2012-11-01,4,1,11,False,3,True,2,9.2,8.4,58.2,17.0,466,5520,5986,Thursday,Autumn
672,2012-11-02,4,1,11,False,4,True,1,8.7,7.5,52.2,28.7,618,5229,5847,Friday,Autumn
673,2012-11-03,4,1,11,False,5,False,2,8.1,5.4,49.1,29.2,1029,4109,5138,Saturday,Autumn
674,2012-11-04,4,1,11,False,6,False,1,7.3,5.7,53.3,19.3,1201,3906,5107,Sunday,Autumn
675,2012-11-05,4,1,11,False,0,True,1,7.0,4.3,49.4,25.5,378,4881,5259,Monday,Autumn
676,2012-11-06,4,1,11,False,1,True,1,5.2,2.6,56.7,18.7,466,5220,5686,Tuesday,Autumn
677,2012-11-07,4,1,11,False,2,True,2,5.9,2.1,54.8,32.8,326,4709,5035,Wednesday,Autumn
678,2012-11-08,4,1,11,False,3,True,1,8.6,6.6,33.3,37.5,340,4975,5315,Thursday,Autumn
679,2012-11-09,4,1,11,False,4,True,1,9.0,7.5,54.1,23.1,709,5283,5992,Friday,Autumn
680,2012-11-10,4,1,11,False,5,False,1,10.3,10.0,64.5,6.2,2090,4446,6536,Saturday,Autumn
681,2012-11-11,4,1,11,False,6,False,1,11.8,11.8,65.9,13.7,2290,4562,6852,Sunday,Autumn
682,2012-11-12,4,1,11,True,0,False,1,14.8,15.4,74.2,18.7,1097,5172,6269,Monday,Autumn
683,2012-11-13,4,1,11,False,1,True,2,8.1,5.3,66.3,36.9,327,3767,4094,Tuesday,Autumn
684,2012-11-14,4,1,11,False,2,True,1,5.6,2.6,55.2,21.5,373,5122,5495,Wednesday,Autumn
685,2012-11-15,4,1,11,False,3,True,2,7.1,5.4,62.0,16.5,320,5125,5445,Thursday,Autumn
686,2012-11-16,4,1,11,False,4,True,1,8.2,6.9,52.5,18.4,484,5214,5698,Friday,Autumn
687,2012-11-17,4,1,11,False,5,False,1,7.3,5.5,54.5,19.4,1313,4316,5629,Saturday,Autumn
688,2012-11-18,4,1,11,False,6,False,1,8.1,6.3,69.3,24.5,922,3747,4669,Sunday,Autumn
689,2012-11-19,4,1,11,False,0,True,2,9.9,8.8,62.3,25.3,449,5050,5499,Monday,Autumn
690,2012-11-20,4,1,11,False,1,True,2,9.6,9.1,68.5,8.9,534,5100,5634,Tuesday,Autumn
691,2012-11-21,4,1,11,False,2,True,1,8.6,8.1,61.4,11.1,615,4531,5146,Wednesday,Autumn
692,2012-11-22,4,1,11,True,3,False,1,8.0,7.1,58.0,5.7,955,1470,2425,Thursday,Autumn
693,2012-11-23,4,1,11,False,4,True,1,9.3,9.0,56.9,16.0,1603,2307,3910,Friday,Autumn
694,2012-11-24,4,1,11,False,5,False,1,5.1,0.4,40.5,40.6,532,1745,2277,Saturday,Autumn
695,2012-11-25,4,1,11,False,6,False,1,3.6,1.0,46.8,16.2,309,2115,2424,Sunday,Autumn
696,2012-11-26,4,1,11,False,0,True,1,6.7,6.4,53.5,5.0,337,4750,5087,Monday,Autumn
697,2012-11-27,4,1,11,False,1,True,2,5.7,2.6,78.7,25.6,123,3836,3959,Tuesday,Autumn
698,2012-11-28,4,1,11,False,2,True,1,5.9,3.1,50.6,22.7,198,5062,5260,Wednesday,Autumn
699,2012-11-29,4,1,11,False,3,True,1,5.2,3.7,55.6,12.5,243,5080,5323,Thursday,Autumn
700,2012-11-30,4,1,11,False,4,True,1,6.0,5.4,65.0,6.3,362,5306,5668,Friday,Autumn
701,2012-12-01,4,1,12,False,5,False,2,6.0,4.9,80.7,6.4,951,4240,5191,Saturday,Autumn
702,2012-12-02,4,1,12,False,6,False,2,8.3,7.7,82.3,13.4,892,3757,4649,Sunday,Autumn
703,2012-12-03,4,1,12,False,0,True,1,13.3,14.1,76.8,8.9,555,5679,6234,Monday,Autumn
704,2012-12-04,4,1,12,False,1,True,1,14.4,15.0,73.4,18.8,551,6055,6606,Tuesday,Autumn
705,2012-12-05,4,1,12,False,2,True,1,12.6,12.2,48.5,34.9,331,5398,5729,Wednesday,Autumn
706,2012-12-06,4,1,12,False,3,True,1,4.0,1.0,50.9,18.8,340,5035,5375,Thursday,Autumn
707,2012-12-07,4,1,12,False,4,True,2,7.1,5.2,76.4,14.1,349,4659,5008,Friday,Autumn
708,2012-12-08,4,1,12,False,5,False,2,9.9,9.7,91.1,10.9,1153,4429,5582,Saturday,Autumn
709,2012-12-09,4,1,12,False,6,False,2,10.1,9.7,90.5,17.0,441,2787,3228,Sunday,Autumn
710,2012-12-10,4,1,12,False,0,True,2,12.5,12.7,92.5,20.5,329,4841,5170,Monday,Autumn
711,2012-12-11,4,1,12,False,1,True,2,8.6,6.3,59.7,31.9,282,5219,5501,Tuesday,Autumn
712,2012-12-12,4,1,12,False,2,True,2,6.0,3.6,53.8,17.6,310,5009,5319,Wednesday,Autumn
713,2012-12-13,4,1,12,False,3,True,1,5.9,3.4,48.6,18.8,425,5107,5532,Thursday,Autumn
714,2012-12-14,4,1,12,False,4,True,1,5.2,3.4,64.3,14.1,429,5182,5611,Friday,Autumn
715,2012-12-15,4,1,12,False,5,False,1,7.2,6.3,65.0,11.5,767,4280,5047,Saturday,Autumn
716,2012-12-16,4,1,12,False,6,False,2,9.0,8.4,83.9,10.9,538,3248,3786,Sunday,Autumn
717,2012-12-17,4,1,12,False,0,True,2,10.5,10.5,90.7,10.6,212,4373,4585,Monday,Autumn
718,2012-12-18,4,1,12,False,1,True,1,11.3,11.0,66.6,23.9,433,5124,5557,Tuesday,Autumn
719,2012-12-19,4,1,12,False,2,True,1,7.6,6.6,62.5,19.8,333,4934,5267,Wednesday,Autumn
720,2012-12-20,4,1,12,False,3,True,2,7.5,6.1,66.8,14.3,314,3814,4128,Thursday,Autumn
721,2012-12-21,1,1,12,False,4,True,2,7.4,3.9,55.7,40.4,221,3402,3623,Friday,Winter
722,2012-12-22,1,1,12,False,5,False,1,4.5,-0.4,44.1,43.9,205,1544,1749,Saturday,Winter
723,2012-12-23,1,1,12,False,6,False,1,3.6,1.1,51.5,14.3,408,1379,1787,Sunday,Winter
724,2012-12-24,1,1,12,False,0,True,2,2.9,1.1,79.1,8.3,174,746,920,Monday,Winter
725,2012-12-25,1,1,12,True,1,False,2,5.7,3.4,73.5,18.2,440,573,1013,Tuesday,Winter
726,2012-12-26,1,1,12,False,2,True,3,3.4,-1.5,82.3,34.1,9,432,441,Wednesday,Winter
727,2012-12-27,1,1,12,False,3,True,2,3.9,-1.0,65.3,37.8,247,1867,2114,Thursday,Winter
728,2012-12-28,1,1,12,False,4,True,2,3.9,0.8,59.0,16.8,644,2451,3095,Friday,Winter
729,2012-12-29,1,1,12,False,5,False,2,3.9,-0.0,75.3,13.4,159,1182,1341,Saturday,Winter
730,2012-12-30,1,1,12,False,6,False,1,4.0,-0.7,48.3,37.8,364,1432,1796,Sunday,Winter
731,2012-12-31,1,1,12,False,0,True,2,2.1,-1.2,57.8,16.7,439,2290,2729,Monday,Winter
